-60,-7,28
-61,-7,27
-60,-7,27
-59,-6,27
-53,-5,29
-55,-7,28
-58,-8,27
-62,-9,24
-63,-9,25
-60,-10,27
-57,-10,29
-58,-10,30
-58,-9,31
-57,-8,32
-56,-8,30
-57,-11,29
-56,-11,27
-57,-11,27
-57,-10,28
-59,-11,29
-60,-8,29
-58,-7,27
-56,-10,23
-58,-9,23
-61,-9,23
-60,-10,26
-58,-10,27
-57,-9,28
-57,-9,27
-60,-9,22
-62,-10,18
-63,-10,18
-63,-8,20
-61,-9,20
-59,-11,18
-58,-12,18
-59,-12,18
-61,-10,17
-61,-8,15
-62,-7,13
-65,-5,9
-66,-4,8
-73,-4,6
-76,-3,0
-79,-5,2
-81,-6,7
-75,-6,6
-62,-8,20
-48,-6,29
-48,-8,22
-55,-11,25
-47,-9,34
-39,-11,25
-34,-9,48
-41,-9,49
-35,-9,40
-30,-11,36
-27,-2,49
-47,1,48
-54,0,52
-84,8,57
-90,2,41
-55,2,36
-31,0,42
-29,-1,46
-42,1,50
-49,1,49
-57,-2,41
-50,-3,38
-48,-2,41
-48,0,43
-48,0,43
-49,0,42
-49,-1,42
-49,-1,42
-48,-1,43
-49,-2,43
-49,-2,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,0,42
-49,0,42
-49,0,42
-49,0,42
-49,0,42
-49,0,42
-49,0,42
-49,0,42
-48,0,42
-49,-2,42
-50,-2,42
-49,-2,42
-48,-1,42
-49,-1,42
-50,-2,42
-50,-3,41
-49,-1,42
-49,0,42
-50,1,42
-49,1,41
-49,0,42
-49,-2,42
-50,-3,42
-50,-3,42
-49,-2,42
-49,-2,42
-50,-1,42
-49,-1,42
-50,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-50,-1,42
-50,-1,41
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-2,41
-50,-2,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-50,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-50,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-50,-1,42
-49,-1,42
-49,-1,42
-50,-2,42
-50,-2,41
-49,-1,42
-49,-1,42
-50,-2,42
-50,-1,41
-49,-2,41
-49,-2,42
-50,-1,42
-49,-2,42
-49,-3,42
-49,-3,42
-50,-2,42
-50,-2,42
-49,-1,41
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-49,-1,42
-50,-1,42
-50,-2,42
-49,-2,42
-49,-2,42
-49,-2,42
-49,-2,42
-49,-2,42
-49,-1,42
-50,-1,42
-49,-1,42
-49,-2,42
-49,-2,41
-49,-2,41
-49,-1,42
-49,-1,42
-49,-1,42
